subj,correct,problemSize,format,truth,rt
6,1,Large,Digits,False,1081
6,1,Large,Digits,False,800
6,1,Small,Digits,True,4474
6,1,Small,Digits,True,759
6,1,Small,Digits,True,523
6,1,Small,Digits,True,810
6,1,Small,Digits,True,824
6,1,Small,Digits,True,971
6,1,Small,Words,True,1208
6,0,Small,Words,False,1817
6,1,Small,Words,False,4119
6,1,Small,Words,False,2939
6,1,Small,Words,False,1732
6,1,Small,Words,False,1638
6,1,Small,Words,False,1618
6,1,Small,Words,False,3020
6,1,Small,Words,False,2101
6,1,Small,Words,False,3137
6,1,Large,Words,True,2219
6,1,Small,Words,True,1632
6,1,Large,Words,True,3416
6,1,Large,Words,True,2883
6,1,Large,Words,True,2413
6,1,Large,Words,True,2419
6,1,Large,Words,True,2939
6,1,Large,Words,True,2633
6,1,Large,Words,True,1794
6,1,Large,Words,True,4483
6,1,Large,Words,False,2906
6,1,Large,Words,False,1751
6,1,Small,Words,True,2292
6,1,Large,Words,False,1969
6,1,Large,Words,False,1497
6,1,Large,Words,False,2503
6,1,Large,Words,False,5231
6,1,Large,Words,False,2681
6,0,Large,Words,False,5076
6,1,Large,Words,False,1981
6,1,Small,Words,True,1953
6,1,Small,Words,True,1490
6,1,Small,Words,True,1023
6,1,Small,Words,True,2971
6,1,Small,Words,True,1643
6,1,Small,Words,True,1422
6,1,Small,Words,True,1936
6,1,Small,Words,False,1203
6,1,Small,Words,False,1248
6,1,Small,Words,False,2468
6,1,Small,Words,False,1758
6,1,Small,Words,False,1995
6,1,Small,Words,False,1546
6,1,Small,Words,False,2773
6,1,Small,Words,False,1290
6,1,Small,Words,False,1726
6,1,Large,Words,True,2414
6,1,Small,Words,True,1605
6,1,Large,Words,True,1663
6,1,Large,Words,True,3139
6,1,Large,Words,True,1023
6,1,Large,Words,True,4130
6,1,Large,Words,True,1789
6,1,Large,Words,True,2626
6,1,Large,Words,True,1363
6,1,Large,Words,True,1723
6,1,Large,Words,False,1561
6,1,Large,Words,False,1970
6,1,Small,Words,True,1934
6,1,Large,Words,False,5278
6,1,Large,Words,False,2632
6,1,Large,Words,False,2193
6,1,Large,Words,False,3947
6,1,Large,Words,False,5394
6,1,Large,Words,False,4098
6,1,Large,Words,False,1284
6,1,Small,Words,True,1549
6,1,Small,Words,True,3049
6,0,Small,Words,True,1392
6,1,Small,Words,True,1745
6,1,Small,Words,True,3177
6,1,Small,Words,True,2383
6,1,Small,Words,True,2190
6,1,Small,Words,False,1512
6,1,Small,Words,False,1777
6,1,Small,Words,False,3677
6,1,Small,Words,False,2252
6,1,Small,Words,False,1760
6,1,Small,Words,False,2289
6,1,Small,Words,False,1129
6,1,Small,Words,False,1588
6,1,Small,Words,False,1819
6,1,Large,Words,True,1791
6,0,Small,Words,True,1838
6,1,Large,Words,True,1290
6,1,Large,Words,True,2376
6,1,Large,Words,True,2347
6,1,Large,Words,True,2538
6,1,Large,Words,True,1587
6,1,Large,Words,True,2500
6,1,Large,Words,True,1796
6,1,Large,Words,True,879
6,1,Large,Words,False,2265
6,1,Large,Words,False,1971
6,1,Small,Words,True,1232
6,1,Large,Words,False,2758
6,1,Large,Words,False,1189
6,1,Large,Words,False,1552
6,1,Large,Words,False,1529
6,1,Large,Words,False,1204
6,1,Large,Words,False,1799
6,1,Large,Words,False,1643
6,1,Small,Words,True,626
6,1,Small,Words,True,1269
6,1,Small,Words,True,1244
6,1,Small,Words,True,2219
6,1,Small,Words,True,1483
6,1,Small,Words,True,1355
6,1,Small,Words,True,992
6,1,Small,Words,False,1350
6,1,Small,Words,False,944
6,1,Small,Words,False,1155
6,1,Small,Words,False,1646
6,1,Small,Words,False,1435
6,1,Small,Words,False,1449
6,1,Small,Words,False,2971
6,1,Small,Words,False,1683
6,1,Small,Words,False,1769
6,1,Large,Words,True,2067
6,1,Small,Words,True,1383
6,1,Large,Words,True,974
6,0,Large,Words,True,5805
6,0,Large,Words,True,1219
6,1,Large,Words,True,1542
6,1,Large,Words,True,3946
6,1,Large,Words,True,908
6,1,Large,Words,True,3936
6,1,Large,Words,True,1443
6,1,Large,Words,False,1601
6,1,Large,Words,False,1658
6,1,Small,Words,True,1673
6,1,Large,Words,False,1475
6,1,Large,Words,False,1035
6,1,Large,Words,False,1931
6,1,Large,Words,False,1370
6,1,Large,Words,False,1495
6,1,Large,Words,False,1485
6,1,Large,Words,False,1492
6,1,Small,Words,True,1723
6,1,Small,Words,True,1323
6,1,Small,Words,True,1699
6,1,Small,Words,True,1637
6,1,Small,Words,True,1850
6,0,Small,Words,True,1980
7,1,Small,Digits,True,771
7,1,Small,Digits,False,1599
7,1,Small,Digits,False,1091
7,1,Small,Digits,False,1155
7,1,Small,Digits,False,1130
7,1,Small,Digits,False,1145
7,1,Small,Digits,False,843
7,1,Small,Digits,False,1070
7,1,Small,Digits,False,1479
7,1,Small,Digits,False,900
7,1,Large,Digits,True,853
7,1,Small,Digits,True,1081
7,1,Large,Digits,True,885
7,1,Large,Digits,True,1371
7,1,Large,Digits,True,938
7,1,Large,Digits,True,1155
7,1,Large,Digits,True,985
7,1,Large,Digits,True,1306
7,1,Large,Digits,True,827
7,1,Large,Digits,True,950
7,1,Large,Digits,False,1748
7,1,Large,Digits,False,1105
7,1,Small,Digits,True,787
7,1,Large,Digits,False,2185
7,1,Large,Digits,False,1349
7,1,Large,Digits,False,1290
7,1,Large,Digits,False,1361
7,1,Large,Digits,False,1820
7,1,Large,Digits,False,1181
7,1,Large,Digits,False,1360
7,1,Small,Digits,True,817
7,1,Small,Digits,True,825
7,1,Small,Digits,True,812
7,1,Small,Digits,True,781
7,1,Small,Digits,True,807
7,1,Small,Digits,True,1054
7,1,Small,Digits,True,816
7,1,Small,Digits,False,1298
7,1,Small,Digits,False,1789
7,1,Small,Digits,False,966
7,1,Small,Digits,False,749
7,1,Small,Digits,False,897
7,1,Small,Digits,False,1433
7,1,Small,Digits,False,1110
7,1,Small,Digits,False,885
7,1,Small,Digits,False,1372
7,1,Large,Digits,True,716
7,1,Small,Digits,True,574
7,1,Large,Digits,True,962
7,1,Large,Digits,True,683
7,0,Large,Digits,True,702
7,1,Large,Digits,True,1002
7,1,Large,Digits,True,789
7,1,Large,Digits,True,881
7,1,Large,Digits,True,645
7,1,Large,Digits,True,757
7,1,Large,Digits,False,817
7,1,Large,Digits,False,869
7,1,Small,Digits,True,597
7,1,Large,Digits,False,1076
7,1,Large,Digits,False,965
7,1,Large,Digits,False,922
7,1,Large,Digits,False,972
7,1,Large,Digits,False,1138
7,1,Large,Digits,False,1290
7,1,Large,Digits,False,777
7,1,Small,Digits,True,625
7,1,Small,Digits,True,717
7,1,Small,Digits,True,555
7,1,Small,Digits,True,762
7,1,Small,Digits,True,861
7,1,Small,Digits,True,659
7,1,Small,Digits,True,825
7,1,Small,Digits,False,745
7,1,Small,Digits,False,868
7,1,Small,Digits,False,985
7,1,Small,Digits,False,753
7,1,Small,Digits,False,706
7,1,Small,Digits,False,732
7,1,Small,Digits,False,645
7,1,Small,Digits,False,652
7,1,Small,Digits,False,1204
7,1,Large,Digits,True,735
7,1,Small,Digits,True,698
7,1,Large,Digits,True,828
7,1,Large,Digits,True,975
7,1,Large,Digits,True,557
7,1,Large,Digits,True,606
7,1,Large,Digits,True,657
7,1,Large,Digits,True,622
7,1,Large,Digits,True,652
7,1,Large,Digits,True,681
7,1,Large,Digits,False,1617
7,1,Large,Digits,False,842
7,1,Small,Digits,True,682
7,1,Large,Digits,False,1365
7,1,Large,Digits,False,1013
7,1,Large,Digits,False,1232
7,1,Large,Digits,False,1025
